CELL,CONTENT,TYPE,FORMULA,RESULT,VERIFICATION,NOTES
A87,"Rent +20%","Formula","=A83*1.2","$6,240","",""
A88,"Rent Impact","Text","","Critical","",""
A89,"Repair Costs","Input","125000","$125,000","",""
A90,"Repairs -10%","Formula","=A89*0.9","$112,500","",""
A91,"Repairs +10%","Formula","=A89*1.1","$137,500","",""
A92,"Repairs -20%","Formula","=A89*0.8","$100,000","",""
A93,"Repairs +20%","Formula","=A89*1.2","$150,000","",""
A94,"Repairs Impact","Text","","Medium","",""
A96,"Break-Even Analysis","Label","","","",""
A97,"Break-Even Rent","Formula","=A22+A45","$5,201","Verified","P&I + Expenses"
A98,"Current Rent","Input","5200","$5,200","",""
A99,"Rent Buffer","Formula","=A98-A22","$1,291","Verified","Rent - P&I"
A100,"Break-Even Occupancy","Formula","=(A22/A98)*100","75.2%","Verified","(P&I ÷ Rent) × 100"
A101,"Safety Margin","Formula","=100-A100","24.8%","Verified","100% - Break-even occupancy"
A103,"Risk Assessment","Label","","","",""
A104,"DSCR Status","Formula","=IF(A56>1.5,"Excellent",IF(A56>1.2,"Good",IF(A56>1.0,"Fair","Poor")))","Good","Verified","1.33 > 1.2"
A105,"Cash Flow Stability","Formula","=IF(A101>20,"High",IF(A101>10,"Medium","Low"))","High","Verified","24.8% > 20%"
A106,"Market Risk","Text","","Low","","Seattle strong market"
A107,"Property Risk","Text","","Low","","5BR/2.5BA premium property"
A108,"Financing Risk","Text","","Medium","","7.5% current rate"
A110,"V3: Formula Verification","Label","","","",""
A111,"ARV Verification","Formula","=A14/A5","$450/sqft","Verified","$1,125,000 ÷ 2,500"
A112,"P&I Total Verification","Formula","=A22*360","$1,407,240","Verified","$3,909 × 360"
A113,"Cash Flow Components","Formula","=A22+A45+A48","$7,601","Verified","P&I + Expenses + Cash Flow"
A114,"ROI Verification","Formula","=A54*A53","$28,800","Verified","35.0% × $824,000"
A115,"Rehab ROI Verification","Formula","=A32*A31/100","$426,000","Verified","341% × $125,000"
A116,"DSCR Verification","Formula","=A56*A22","$5,200","Verified","1.33 × $3,909"
A118,"Summary Dashboard","Label","","","",""
A119,"Key Metrics","SubHeader","","","",""
A120,"Monthly Cash Flow","Result","","$2,400","Verified",""
A121,"Annual ROI","Result","","35.0%","Verified",""
A122,"Deal Score","Result","","8.5/10","Verified",""
A123,"DSCR","Result","","1.33","Verified",""
A124,"Rehab ROI","Result","","341%","Verified",""
A125,"Break-Even Rent","Result","","$5,201","Verified",""
A126,"Safety Margin","Result","","24.8%","Verified",""
A128,"Recommendation","SubHeader","","","",""
A129,"Overall Assessment","Text","","Excellent Investment","","8.5/10 deal score"
A130,"Risk Level","Text","","Low-Medium","","Strong fundamentals"
A131,"Next Steps","Text","","Proceed with Due Diligence","","Verify all assumptions"
A132,"Priority Level","Text","","High Priority","","Excellent metrics across board" 
